Region,Region.Code,code,Site,site.letter,Sample,sampling.date.code,sampling.set,bottle.number,sample.name.library.prep,SamplingDate,SamplingMonth,SamplingYear.x,Buffer,Extraction.Status,sample.box,Library.Preparation.Status..MiFish.,Library.Preparation.Status..16s_Metazoa.,Library.Preparation.Status..MarVer.,field.notes,lab.notes
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_6,521,3,2,lcc521s32,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_7,521,3,3,lcc521s33,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_7,521,3,3,lcc521s33,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_8,521,3,4,lcc521s34,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_8,521,3,4,lcc521s34,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_9,521,5,1,lcc521s51,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_9,521,5,1,lcc521s51,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_10,521,5,2,lcc521s52,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_10,521,5,2,lcc521s52,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_11,521,5,3,lcc521s53,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_11,521,5,3,lcc521s53,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_12,521,5,4,lcc521s54,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set5_12,521,5,4,lcc521s54,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_1,621,1,1,lcc621s11,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_1,621,1,1,lcc621s11,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_2,621,1,2,lcc621s12,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_2,621,1,2,lcc621s12,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_3,621,1,3,lcc621s13,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_3,621,1,3,lcc621s13,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_4,621,1,4,lcc621s14,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_4,621,1,4,lcc621s14,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_NC,621,1,NC,lcc621s1NC,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set1_NC,621,1,NC,lcc621s1NC,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_5,621,3,1,lcc621s31,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_5,621,3,1,lcc621s31,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_6,621,3,2,lcc621s32,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_6,621,3,2,lcc621s32,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_7,621,3,3,lcc621s33,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_7,621,3,3,lcc621s33,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_8,621,3,4,lcc621s34,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set3_8,621,3,4,lcc621s34,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_9,621,5,1,lcc621s51,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_9,621,5,1,lcc621s51,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_10,621,5,2,lcc621s52,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_10,621,5,2,lcc621s52,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_11,621,5,3,lcc621s53,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_11,621,5,3,lcc621s53,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_12,621,5,4,lcc621s54,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-25-2021_Set5_12,621,5,4,lcc621s54,5/25/21,May,2021,longmire,complete,tray 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set1_1,721,1,1,lcc721s11,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set1_2,721,1,2,lcc721s12,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set1_3,721,1,3,lcc721s13,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set1_4,721,1,4,lcc721s14,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set1_NC,721,1,NC,lcc721s1NC,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set3_5,721,3,1,lcc721s31,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set3_6,721,3,2,lcc721s32,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set3_7,721,3,3,lcc721s33,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set3_8,721,3,4,lcc721s34,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set5_9,721,5,1,lcc721s51,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set5_10,721,5,2,lcc721s52,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set5_11,721,5,3,lcc721s53,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-29-2021_Set5_12,721,5,4,lcc721s54,6/29/21,June,2021,longmire,complete,bag 3,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set1_1,821,1,1,lcc821s11,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set1_2,821,1,2,lcc821s12,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set1_3,821,1,3,lcc821s13,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set1_4,821,1,4,lcc821s14,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set1_NC,821,1,NC,lcc821s1NC,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set3_5,821,3,1,lcc821s31,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set3_6,821,3,2,lcc821s32,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set3_7,821,3,3,lcc821s33,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set3_8,821,3,4,lcc821s34,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set5_9,821,5,1,lcc821s51,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set5_10,821,5,2,lcc821s52,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set5_11,821,5,3,lcc821s53,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-28-2021_Set5_12,821,5,4,lcc821s54,7/28/21,July,2021,longmire,complete,bag 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set1_1,921,1,1,lcc921s11,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set1_2,921,1,2,lcc921s12,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set1_3,921,1,3,lcc921s13,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set1_4,921,1,4,lcc921s14,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set1_NC,921,1,NC,lcc921s1NC,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set3_5,921,3,1,lcc921s31,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set3_6,921,3,2,lcc921s32,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set3_7,921,3,3,lcc921s33,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set3_8,921,3,4,lcc921s34,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set5_9,921,5,1,lcc921s51,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set5_10,921,5,2,lcc921s52,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set5_11,921,5,3,lcc921s53,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-22-2021_Set5_12,921,5,4,lcc921s54,8/22/21,August,2021,longmire,complete,tray 5,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set1_1,422,1,1,lcc422s11,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set1_2,422,1,2,lcc422s12,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set1_3,422,1,3,lcc422s13,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set1_4,422,1,4,lcc422s14,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set1_NC,422,1,NC,lcc422s1NC,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set3_5,422,3,1,lcc422s31,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set3_6,422,3,2,lcc422s32,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set3_7,422,3,3,lcc422s33,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set3_8,422,3,4,lcc422s34,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set5_9,422,5,1,lcc422s51,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set5_10,422,5,2,lcc422s52,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set5_11,422,5,3,lcc422s53,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-22-2022_Set5_12,422,5,4,lcc422s54,4/22/22,April,2022,ethanol ,complete,cowee box ,L20230529,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set1_1,522,1,1,lcc522s11,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set1_2,522,1,2,lcc522s12,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set1_3,522,1,3,lcc522s13,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set1_4,522,1,4,lcc522s14,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set1_NC,522,1,NC,lcc522s1NC,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set3_5,522,3,1,lcc522s31,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set3_6,522,3,2,lcc522s32,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set3_7,522,3,3,lcc522s33,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set3_8,522,3,4,lcc522s34,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set5_9,522,5,1,lcc522s51,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set5_10,522,5,2,lcc522s52,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set5_11,522,5,3,lcc522s53,5/20/22,May,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_5-20-2022_Set5_12,522,5,4,lcc522s54,5/20/22,May ,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set1_1,622,1,1,lcc622s11,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set1_2,622,1,2,lcc622s12,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set1_3,622,1,3,lcc622s13,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set1_4,622,1,4,lcc622s14,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set1_NC,622,1,NC,lcc622s1NC,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set3_5,622,3,1,lcc622s31,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set3_6,622,3,2,lcc622s32,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set3_7,622,3,3,lcc622s33,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set3_8,622,3,4,lcc622s34,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set5_9,622,5,1,lcc622s51,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set5_10,622,5,2,lcc622s52,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set5_11,622,5,3,lcc622s53,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_6-16-2022_Set5_12,622,5,4,lcc622s54,6/16/22,June,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set1_1,722,1,1,lcc722s11,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set1_2,722,1,2,lcc722s12,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set1_3,722,1,3,lcc722s13,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set1_4,722,1,4,lcc722s14,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set1_NC,722,1,NC,lcc722s1NC,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set3_5,722,3,1,lcc722s31,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set3_6,722,3,2,lcc722s32,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set3_7,722,3,3,lcc722s33,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set3_8,722,3,4,lcc722s34,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set5_9,722,5,1,lcc722s51,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set5_10,722,5,2,lcc722s52,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set5_11,722,5,3,lcc722s53,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_7-19-2022_Set5_12,722,5,4,lcc722s54,7/19/22,July,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set1_1,822,1,1,lcc822s11,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set1_2,822,1,2,lcc822s12,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set1_3,822,1,3,lcc822s13,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set1_4,822,1,4,lcc822s14,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set1_NC,822,1,NC,lcc822s1NC,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set3_5,822,3,1,lcc822s31,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set3_6,822,3,2,lcc822s32,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set3_7,822,3,3,lcc822s33,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set3_8,822,3,4,lcc822s34,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set5_9,822,5,1,lcc822s51,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set5_10,822,5,2,lcc822s52,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set5_11,822,5,3,lcc822s53,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_8-12-2022_Set5_12,822,5,4,lcc822s54,8/12/22,August,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_9-13-2022_Set1_1,922,1,1,lcc922s11,9/13/22,September,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_9-13-2022_Set1_2,922,1,2,lcc922s12,9/13/22,September,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_9-13-2022_Set1_3,922,1,3,lcc922s13,9/13/22,September,2022,ethanol ,complete,cowee box ,,NA,NA,NA,
