"","species","genus","family","order","class","phylum","kingdom","taxonomic_level","taxon"
"67","Oncorhynchus tshawytscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus tshawytscha"
"68","Blepsias bilobus","Blepsias","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Blepsias bilobus"
"69","Oncorhynchus kisutch","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus kisutch"
"70","Cottus cognatus","Cottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Cottus cognatus"
"71","Artedius fenestralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Artedius fenestralis"
"72","Stichaeus punctatus","Stichaeus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Stichaeus punctatus"
"73","Microgadus proximus","Microgadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Microgadus proximus"
"74","Nautichthys oculofasciatus","Nautichthys","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Nautichthys oculofasciatus"
"75","Hypomesus pretiosus","Hypomesus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Hypomesus pretiosus"
"76","Ammodytes personatus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota","species","Ammodytes personatus"
"77","Oncorhynchus nerka","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus nerka"
"78","Leptocottus armatus","Leptocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Leptocottus armatus"
"79","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Platichthys stellatus"
"80","Podothecus accipenserinus","Podothecus","Agonidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Podothecus accipenserinus"
"81","Trichodon trichodon","Trichodon","Trichodontidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Trichodon trichodon"
"82","Atheresthes stomias","Atheresthes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Atheresthes stomias"
"83","Oncorhynchus clarkii","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus clarkii"
"84","Osmerus mordax","Osmerus","Osmeridae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Osmerus mordax"
"85","Gasterosteus aculeatus","Gasterosteus","Gasterosteidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Gasterosteus aculeatus"
"86","Lethenteron camtschaticum","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota","species","Lethenteron camtschaticum"
"87","Hippoglossus stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Hippoglossus stenolepis"
"88","Lumpenus sagitta","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Lumpenus sagitta"
"89","Clinocottus acuticeps","Clinocottus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Clinocottus acuticeps"
"90","Enophrys bison","Enophrys","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Enophrys bison"
"91","Liparis cyclopus","Liparis","Liparidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Liparis cyclopus"
"92","Oncorhynchus gorbuscha","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus gorbuscha"
"93","Limanda aspera","Limanda","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota","species","Limanda aspera"
"94","Oncorhynchus keta","Oncorhynchus","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Oncorhynchus keta"
"95","Stenobrachius nannochir","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota","species","Stenobrachius nannochir"
"96","Prosopium cylindraceum","Prosopium","Salmonidae","Salmoniformes","Actinopteri","Chordata","Eukaryota","species","Prosopium cylindraceum"
"97","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Anoplopoma fimbria"
"98","Artedius harringtoni","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Artedius harringtoni"
"99","Mallotus villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota","species","Mallotus villosus"
"100","Zaprora silenus","Zaprora","Zaproridae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Zaprora silenus"
"101","Gadus macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota","species","Gadus macrocephalus"
"102","Hemilepidotus jordani","Hemilepidotus","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota","species","Hemilepidotus jordani"
"103","Stenobrachius leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota","species","Stenobrachius leucopsarus"
